run_id,extraction_id,zone_number,zone_name,source_line_number,unit_system,sample_index,day_of_year,day_type,sim_time_seconds,temperature_k,reference_pressure_pa,air_density_kg_m3
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,101,1,,30300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,102,1,,30600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,103,1,,30900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,104,1,,31200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,105,1,,31500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,106,1,,31800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,107,1,,32100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,108,1,,32400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,109,1,,32700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,110,1,,33000,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,111,1,,33300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,112,1,,33600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,113,1,,33900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,114,1,,34200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,115,1,,34500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,116,1,,34800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,117,1,,35100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,118,1,,35400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,119,1,,35700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,120,1,,36000,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,121,1,,36300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,122,1,,36600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,123,1,,36900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,124,1,,37200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,125,1,,37500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,126,1,,37800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,127,1,,38100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,128,1,,38400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,129,1,,38700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,130,1,,39000,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,131,1,,39300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,132,1,,39600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,133,1,,39900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,134,1,,40200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,135,1,,40500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,136,1,,40800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,137,1,,41100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,138,1,,41400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,139,1,,41700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,140,1,,42000,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,141,1,,42300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,142,1,,42600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,143,1,,42900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,144,1,,43200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,145,1,,43500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,146,1,,43800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,147,1,,44100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,148,1,,44400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,149,1,,44700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,150,1,,45000,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,151,1,,45300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,152,1,,45600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,153,1,,45900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,154,1,,46200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,155,1,,46500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,156,1,,46800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,157,1,,47100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,158,1,,47400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,159,1,,47700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,160,1,,48000,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,161,1,,48300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,162,1,,48600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,163,1,,48900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,164,1,,49200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,165,1,,49500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,166,1,,49800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,167,1,,50100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,168,1,,50400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,169,1,,50700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,170,1,,51000,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,171,1,,51300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,172,1,,51600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,173,1,,51900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,174,1,,52200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,175,1,,52500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,176,1,,52800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,177,1,,53100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,178,1,,53400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,179,1,,53700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,180,1,,54000,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,181,1,,54300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,182,1,,54600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,183,1,,54900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,184,1,,55200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,185,1,,55500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,186,1,,55800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,187,1,,56100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,188,1,,56400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,189,1,,56700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,190,1,,57000,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,191,1,,57300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,192,1,,57600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,193,1,,57900,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,194,1,,58200,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,195,1,,58500,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,196,1,,58800,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,197,1,,59100,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,198,1,,59400,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,199,1,,59700,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,200,1,,60000,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,201,1,,60300,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,202,1,,60600,293.15,-1.4222,1.2041
20260719T015113Z-d8c32843,20260719T015116Z-b74cc5d5,1,One,243,SI,203,1,,60900,293.15,-1.4222,1.2041
